timestamp, temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], power.draw [W]
2026/07/19 18:13:28.184, 69, 960 MHz, 0 %, 12.27 W
2026/07/19 18:13:29.221, 70, 975 MHz, 4 %, 26.28 W
2026/07/19 18:13:30.250, 71, 975 MHz, 4 %, 26.16 W
2026/07/19 18:13:31.280, 71, 975 MHz, 0 %, 26.29 W
2026/07/19 18:13:32.309, 71, 960 MHz, 0 %, 24.70 W
2026/07/19 18:13:33.340, 71, 975 MHz, 3 %, 26.33 W
2026/07/19 18:13:34.370, 71, 975 MHz, 0 %, 26.40 W
2026/07/19 18:13:35.399, 71, 960 MHz, 0 %, 24.24 W
2026/07/19 18:13:36.430, 71, 960 MHz, 0 %, 12.70 W
2026/07/19 18:13:37.464, 71, 975 MHz, 3 %, 26.27 W
2026/07/19 18:13:38.497, 71, 975 MHz, 0 %, 26.31 W
2026/07/19 18:13:39.525, 71, 960 MHz, 0 %, 23.68 W
2026/07/19 18:13:40.556, 72, 975 MHz, 3 %, 26.55 W
2026/07/19 18:13:41.587, 72, 975 MHz, 0 %, 26.58 W
2026/07/19 18:13:42.618, 71, 960 MHz, 0 %, 22.95 W
2026/07/19 18:13:43.649, 72, 975 MHz, 2 %, 21.44 W
2026/07/19 18:13:44.679, 72, 975 MHz, 2 %, 26.54 W
2026/07/19 18:13:45.711, 72, 975 MHz, 0 %, 26.65 W
2026/07/19 18:13:46.743, 72, 960 MHz, 0 %, 12.56 W
2026/07/19 18:13:47.776, 72, 975 MHz, 3 %, 26.68 W
2026/07/19 18:13:48.805, 72, 975 MHz, 0 %, 26.81 W
2026/07/19 18:13:49.835, 72, 960 MHz, 0 %, 12.63 W
2026/07/19 18:13:50.867, 72, 975 MHz, 3 %, 26.63 W
2026/07/19 18:13:51.896, 72, 975 MHz, 0 %, 26.64 W
2026/07/19 18:13:52.153, 72, 960 MHz, 0 %, 12.27 W
2026/07/19 18:13:53.183, 71, 960 MHz, 0 %, 12.09 W
2026/07/19 18:13:54.215, 71, 960 MHz, 0 %, 12.21 W
2026/07/19 18:13:55.245, 71, 960 MHz, 0 %, 12.21 W
2026/07/19 18:13:56.276, 71, 960 MHz, 0 %, 12.23 W
2026/07/19 18:13:57.306, 71, 960 MHz, 0 %, 12.24 W
2026/07/19 18:13:58.338, 71, 960 MHz, 0 %, 12.11 W
2026/07/19 18:13:59.368, 70, 960 MHz, 0 %, 12.08 W
2026/07/19 18:14:00.398, 70, 960 MHz, 0 %, 12.01 W
2026/07/19 18:14:01.429, 70, 960 MHz, 0 %, 12.11 W
2026/07/19 18:14:02.460, 70, 960 MHz, 0 %, 12.04 W
2026/07/19 18:14:03.490, 70, 960 MHz, 0 %, 12.14 W
2026/07/19 18:14:04.521, 70, 960 MHz, 0 %, 12.04 W
