timestamp, temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], power.draw [W]
2026/07/19 19:49:32.309, 69, 960 MHz, 0 %, 12.09 W
2026/07/19 19:49:33.330, 70, 975 MHz, 1 %, 25.94 W
2026/07/19 19:49:34.343, 70, 975 MHz, 7 %, 25.96 W
2026/07/19 19:49:35.354, 70, 975 MHz, 0 %, 26.14 W
2026/07/19 19:49:36.366, 70, 975 MHz, 0 %, 25.96 W
2026/07/19 19:49:37.389, 70, 975 MHz, 0 %, 26.20 W
2026/07/19 19:49:38.415, 71, 975 MHz, 3 %, 26.20 W
2026/07/19 19:49:39.442, 71, 975 MHz, 0 %, 26.26 W
2026/07/19 19:49:40.470, 71, 975 MHz, 0 %, 23.78 W
2026/07/19 19:49:41.498, 71, 975 MHz, 3 %, 26.17 W
2026/07/19 19:49:42.524, 71, 975 MHz, 0 %, 26.29 W
2026/07/19 19:49:43.552, 70, 960 MHz, 0 %, 12.12 W
2026/07/19 19:49:44.581, 71, 975 MHz, 2 %, 26.31 W
2026/07/19 19:49:45.611, 71, 975 MHz, 2 %, 26.40 W
2026/07/19 19:49:46.639, 70, 960 MHz, 0 %, 12.08 W
2026/07/19 19:49:47.674, 71, 975 MHz, 0 %, 26.35 W
2026/07/19 19:49:48.708, 71, 975 MHz, 3 %, 26.43 W
2026/07/19 19:49:49.741, 72, 975 MHz, 0 %, 26.51 W
2026/07/19 19:49:50.775, 71, 960 MHz, 0 %, 12.53 W
2026/07/19 19:49:51.810, 72, 975 MHz, 3 %, 26.48 W
2026/07/19 19:49:52.846, 72, 975 MHz, 0 %, 26.42 W
2026/07/19 19:49:53.881, 71, 960 MHz, 0 %, 12.09 W
2026/07/19 19:49:54.912, 72, 975 MHz, 0 %, 26.50 W
2026/07/19 19:49:55.937, 72, 975 MHz, 4 %, 26.51 W
2026/07/19 19:49:56.962, 72, 975 MHz, 0 %, 26.58 W
2026/07/19 19:49:57.987, 71, 960 MHz, 0 %, 12.07 W
2026/07/19 19:49:59.012, 71, 960 MHz, 0 %, 12.14 W
2026/07/19 19:50:00.039, 71, 960 MHz, 0 %, 12.02 W
2026/07/19 19:50:00.414, 71, 960 MHz, 0 %, 11.90 W
