timestamp, temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], power.draw [W]
2026/07/20 00:57:39.568, 80, 960 MHz, 0 %, 13.46 W
2026/07/20 00:57:40.579, 81, 975 MHz, 2 %, 29.12 W
2026/07/20 00:57:41.582, 82, 975 MHz, 4 %, 29.21 W
2026/07/20 00:57:42.586, 82, 975 MHz, 0 %, 29.35 W
2026/07/20 00:57:43.590, 81, 960 MHz, 0 %, 13.18 W
2026/07/20 00:57:44.598, 82, 975 MHz, 3 %, 29.24 W
2026/07/20 00:57:45.605, 82, 975 MHz, 0 %, 29.38 W
2026/07/20 00:57:46.609, 82, 960 MHz, 0 %, 13.14 W
2026/07/20 00:57:47.613, 81, 960 MHz, 0 %, 13.35 W
2026/07/20 00:57:48.622, 82, 975 MHz, 3 %, 29.36 W
2026/07/20 00:57:49.626, 82, 975 MHz, 0 %, 29.51 W
2026/07/20 00:57:50.630, 82, 960 MHz, 0 %, 13.32 W
2026/07/20 00:57:51.635, 83, 975 MHz, 0 %, 29.42 W
2026/07/20 00:57:55.994, 83, 975 MHz, 0 %, 29.61 W
2026/07/20 00:57:56.999, 83, 960 MHz, 0 %, 29.59 W
2026/07/20 00:57:58.003, 82, 960 MHz, 0 %, 15.45 W
2026/07/20 00:57:59.008, 83, 975 MHz, 4 %, 29.81 W
2026/07/20 00:58:00.013, 83, 975 MHz, 0 %, 29.85 W
2026/07/20 00:58:01.018, 83, 960 MHz, 0 %, 13.57 W
2026/07/20 00:58:02.023, 83, 975 MHz, 0 %, 29.78 W
2026/07/20 00:58:03.027, 84, 975 MHz, 3 %, 29.98 W
2026/07/20 00:58:04.032, 83, 960 MHz, 0 %, 13.48 W
2026/07/20 00:58:05.037, 83, 975 MHz, 0 %, 31.23 W
2026/07/20 00:58:06.041, 84, 975 MHz, 0 %, 29.97 W
2026/07/20 00:58:07.045, 84, 960 MHz, 0 %, 28.62 W
2026/07/20 00:58:08.051, 83, 960 MHz, 0 %, 13.75 W
2026/07/20 00:58:09.057, 84, 975 MHz, 2 %, 30.00 W
2026/07/20 00:58:10.060, 84, 975 MHz, 0 %, 30.14 W
2026/07/20 00:58:11.066, 84, 975 MHz, 0 %, 30.14 W
2026/07/20 00:58:12.071, 84, 975 MHz, 0 %, 30.15 W
2026/07/20 00:58:13.075, 85, 975 MHz, 0 %, 30.27 W
2026/07/20 00:58:14.081, 85, 975 MHz, 0 %, 30.39 W
2026/07/20 00:58:15.085, 84, 960 MHz, 0 %, 13.51 W
2026/07/20 00:58:16.091, 83, 960 MHz, 0 %, 13.68 W
2026/07/20 00:58:17.096, 83, 960 MHz, 0 %, 13.72 W
2026/07/20 00:58:18.101, 83, 960 MHz, 0 %, 13.57 W
2026/07/20 00:58:19.106, 83, 960 MHz, 0 %, 13.54 W
2026/07/20 00:58:20.111, 83, 960 MHz, 0 %, 13.60 W
2026/07/20 00:58:21.116, 83, 960 MHz, 0 %, 13.48 W
2026/07/20 00:58:22.121, 83, 960 MHz, 0 %, 13.43 W
2026/07/20 00:58:23.126, 83, 960 MHz, 0 %, 13.55 W
2026/07/20 00:58:24.131, 83, 960 MHz, 10 %, 13.45 W
2026/07/20 00:58:25.137, 83, 960 MHz, 0 %, 13.68 W
2026/07/20 00:58:26.143, 83, 960 MHz, 0 %, 13.38 W
2026/07/20 00:58:27.149, 83, 960 MHz, 0 %, 13.52 W
2026/07/20 00:58:31.515, 83, 960 MHz, 0 %, 13.48 W
2026/07/20 00:58:32.520, 83, 960 MHz, 0 %, 13.43 W
2026/07/20 00:58:33.525, 83, 960 MHz, 0 %, 13.47 W
2026/07/20 00:58:34.530, 82, 960 MHz, 0 %, 13.38 W
2026/07/20 00:58:35.535, 83, 960 MHz, 0 %, 13.65 W
2026/07/20 00:58:36.541, 82, 960 MHz, 0 %, 13.59 W
2026/07/20 00:58:37.546, 82, 960 MHz, 0 %, 13.37 W
2026/07/20 00:58:38.550, 82, 960 MHz, 0 %, 13.33 W
2026/07/20 00:58:39.558, 82, 960 MHz, 0 %, 13.38 W
2026/07/20 00:58:40.563, 82, 960 MHz, 0 %, 13.40 W
2026/07/20 00:58:41.569, 82, 960 MHz, 0 %, 13.33 W
2026/07/20 00:58:42.574, 82, 960 MHz, 0 %, 13.31 W
2026/07/20 00:58:43.579, 82, 960 MHz, 0 %, 13.49 W
2026/07/20 00:58:44.584, 83, 960 MHz, 0 %, 22.68 W
2026/07/20 00:58:45.595, 83, 990 MHz, 10 %, 29.17 W
2026/07/20 00:58:46.599, 83, 960 MHz, 0 %, 13.28 W
2026/07/20 00:58:47.605, 83, 960 MHz, 0 %, 13.47 W
2026/07/20 00:58:48.611, 82, 960 MHz, 0 %, 13.34 W
2026/07/20 00:58:49.616, 82, 960 MHz, 0 %, 13.51 W
